Metabolite,Smiles
xdp_c,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1
ac_e,CC(=O)[O-]
adn_e,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
for_e,O=C[O-]
fum_e,O=C(O)C=CC(=O)O
g3pg_e,O=P([O-])(OCC(O)CO)OC[C@H](O)CO
ins_e,OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O
kdo2lipid4_e,CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@@H](OP(=O)([O-])[O-])O[C@H](CO[C@@H]2O[C@H](CO[C@]3(C(=O)[O-])C[C@@H](O[C@]4(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O4)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](OP(=O)([O-])[O-])[C@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@H]2NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC
mal__L_e,O=C([O-])C[C@H](O)C(=O)[O-]
trp__L_e,[NH3+][C@@H](Cc1c[nH]c2ccccc12)C(=O)[O-]
tyr__L_e,[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-]
12dgr181_p,CCCCCCC=CCCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC
1agpe120_p,CCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OCCN
1agpe161_p,CCCCCCCCC=CCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OCC[NH3+]
1agpg140_p,CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]
2agpe140_p,CCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN
ocdca_p,CCCCCCCCCCCCCCCCCC(=O)[O-]
pe181_p,CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCC=CCCCCCC
pg160_p,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCCCCCCCCCC
pg180_p,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCCCCCCCCCCCC
pgp160_p,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])O)OC(=O)CCCCCCCCCCCCCCC
rbl__D_c,O=C(CO)[C@@H](O)[C@@H](O)CO
nadhx__R_c,c
cxsam_c,c
erthrs_c,c
10fthf_c,Nc1nc2c(c(=O)[nH]1)N[C@@H](CN(C=O)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2
12dgr161_c,CCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCC
14dhncoa_c,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1cc(O)c2ccccc2c1O
2agpe181_c,CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[NH3+]
2agpg161_c,c
2agpg180_c,CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OC[C@@H](O)CO
2agpg181_c,CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(O)CO
2dr1p_c,O=P(O)(O)O[C@H]1C[C@H](O)[C@@H](CO)O1
2mahmp_c,Cc1ncc(COP(=O)([O-])OP(=O)([O-])[O-])c(N)n1
2mcacn_c,C/C(C(=O)[O-])=C(\\CC(=O)[O-])C(=O)[O-]
4mpetz_c,Cc1ncsc1CCOP(=O)([O-])[O-]
4ppcys_c,CC(=O)N[C@H]1[C@H](NC(=O)C[C@H](NC([*])=O)C(=O)N[*])O[C@H](CO)[C@@H](O)[C@@H]1O
5apru_c,Nc1c(N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)[nH]c(=O)[nH]c1=O
6hmhpt_c,Nc1nc2c(c(=O)[nH]1)N=C(CO)CN2
6hmhptpp_c,Nc1nc2c(c(=O)[nH]1)N=C(COP(=O)([O-])OP(=O)([O-])[O-])CN2
aacoa_c,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
accoa_c,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
aconm_c,COC(=O)C(=CC(=O)[O-])CC(=O)[O-]
adpglc_c,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H]1O
air_c,Nc1c[nH+]cn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
amp_c,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
ap4a_c,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O
cdpdddecg_c,CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(=O)CCCCCCCCCCC
cmp_c,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1
coa_c,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS
cpg180_c,CCCCCCC1CC1CCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)CO)OC(=O)CCCCCCCCCC1CC1CCCCCC
csn_c,Nc1cc[nH]c(=O)n1
ctp_c,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1
db4p_c,CC(=O)C(O)COP(=O)(O)O
dcyt_c,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
dgmp_c,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]1
dhgly_c,[NH2+]=CC(=O)[O-]
dhpmp_c,Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)COP(=O)([O-])O)CN2
ditp_c,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O1
dtdp4addg_c,Cc1cn(C2CC(O)C(COP(=O)([O-])OP(=O)([O-])OC3OC(C)C([NH3+])C(O)C3O)O2)c(=O)[nH]c1=O
dtmp_c,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]c1=O
dudp_c,O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]1
duri_c,O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
fgam_c,O=CNCC(=O)N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
fmn_c,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C
fpram_c,[NH2+]=C(CNC=O)N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
gdpddman_c,C[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)C1=O
gdpmann_c,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
gsn_c,Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
gua_c,Nc1nc2[nH]cnc2c(=O)[nH]1
histd_c,[NH3+][C@H](CO)Cc1c[nH]cn1
ichor_c,C=C(O[C@H]1C=CC=C(C(=O)[O-])[C@@H]1O)C(=O)[O-]
idp_c,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O
imacp_c,O=C(COP(=O)([O-])[O-])Cc1c[nH]cn1
itp_c,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O
kdolipid4_c,CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@@H](OP(=O)([O-])[O-])O[C@H](CO[C@@H]2O[C@H](CO[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](OP(=O)([O-])[O-])[C@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@H]2NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC
lald__D_c,C[C@@H](O)C=O
mnl1p_c,O=P([O-])([O-])OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
mptamp_c,Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C([S-])[C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)O[C@H]1N2
nadh_c,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
orot5p_c,O=C([O-])c1cc(=O)[nH]c(=O)n1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
paps_c,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O
pdx5p_c,Cc1ncc(COP(=O)([O-])[O-])c(CO)c1O
pe140_c,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCCCCC
pe141_c,CCCCCCC=CCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCC=CCCCCCC
pe180_c,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCCCCCCCCC
pg181_c,CCCCCC/C=C\\CCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)CO)OC(=O)CCCCCCCCC/C=C\\CCCCCC
pgp120_c,CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])O)OC(=O)CCCCCCCCCCC
pgp180_c,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])O)OC(=O)CCCCCCCCCCCCCCCCC
pgp181_c,CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])O)OC(=O)CCCCCCCCCC=CCCCCCC
ppgpp_c,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H]2O)c(=O)[nH]1
pphn_c,O=C([O-])C(=O)C[C@]1(C(=O)[O-])C=C[C@@H](O)C=C1
pppi_c,O=P([O-])([O-])OP(=O)([O-])OP(=O)([O-])[O-]
prfp_c,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1/N=C/N[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
ps141_c,CCCCCCC=CCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)[O-])OC(=O)CCCCCC=CCCCCCC
rbflvrd_c,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1[n-]c(=O)[nH]c(=O)c1N2
sbzcoa_c,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)c1ccccc1C(=O)[O-]
seramp_c,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OC(=O)[C@@H](N)CO)[C@@H](O)[C@H]1O
sl2a6o_c,O=C([O-])CCC(=O)N[C@@H](CCCC(=O)C(=O)[O-])C(=O)[O-]
sucarg_c,NC(=[NH2+])NCCC[C@H](NC(=O)CCC(=O)[O-])C(=O)[O-]
succoa_c,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-]
suchms_c,[NH3+][C@@H](CCOC(=O)CCC(=O)[O-])C(=O)[O-]
uaccg_c,C=C(O[C@H]1[C@H](O)[C@@H](CO)O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@@H]1NC(C)=O)C(=O)[O-]
udp_c,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
udpg_c,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
um4p_c,CC(=O)NC1C(OP(=O)([O-])OP(=O)([O-])OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)NC(CCCC(NC(=O)C(C)[NH3+])C(=O)[O-])C(=O)[O-])C(=O)[O-]
uri_c,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
utp_c,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
xmp_c,O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1
acald_e,CC=O
cytd_e,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
dha_e,O=C(CO)CO
g3pe_e,NCCOP(=O)(O)OC[C@@H](O)CO
glyc__R_e,O=C([O-])[C@H](O)CO
glyclt_e,O=C([O-])CO
h_e,[H+]
hxan_e,O=c1[nH]cnc2nc[nH]c12
lipa_cold_e,CCCCCCC=CCCCCCCCC(=O)OC(CCCCCCCCCCC)CC(=O)NC1C(OCC2OC(OP(=O)([O-])O)C(NC(=O)CC(O)CCCCCCCCCCC)C(OC(=O)CC(O)CCCCCCCCCCC)C2O)OC(COC2(C(=O)[O-])CC(OC3(C(=O)[O-])CC(O)C(O)C(C(O)CO)O3)C(O)C(C(O)CO)O2)C(OP(=O)([O-])O)C1OC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC
phe__L_e,NC(Cc1ccccc1)C(=O)O
succ_e,O=C([O-])CCC(=O)[O-]
thymd_e,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
ura_e,O=c1cc[nH]c(=O)[nH]1
xan_e,O=c1[nH]c(=O)c2nc[nH]c2[nH]1
12dgr161_p,CCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCC
1agpe141_p,C=CCCCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[NH3+]
1agpg120_p,CCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)(O)OC[C@@H](O)CO
1agpg160_p,CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])OC[C@@H](O)CO
2agpg160_p,CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OC[C@@H](O)CO
2agpg161_p,c
2agpg181_p,CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)([O-])OCC(O)CO
gua_p,Nc1nc2[nH]cnc2c(=O)[nH]1
hdcea_p,CCCCCC/C=C\\CCCCCCCC(=O)[O-]
pe140_p,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCCCCC
pe141_p,CCCCCCC=CCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCC=CCCCCCC
pe180_p,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCCCCCCCCC
pg181_p,CCCCCC/C=C\\CCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)CO)OC(=O)CCCCCCCCC/C=C\\CCCCCC
pgp120_p,CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])O)OC(=O)CCCCCCCCCCC
pgp180_p,CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])O)OC(=O)CCCCCCCCCCCCCCCCC
pgp181_p,CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])O)OC(=O)CCCCCCCCCC=CCCCCCC
unagamuf_p,CC(=O)NC1C(C)OC(OC2C(C(=O)[O-])OC(OC3C(CO)OC(OP(=O)([O-])OP(=O)([O-])OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)C(NC(C)=O)C3O)C(NC(C)=O)C2O)C(O)C1O
uri_p,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
nadphx__S_c,c
urdgci_c,c
23dhb_c,O=C([O-])c1cccc(O)c1O
25aics_c,Nc1c(C(=O)N[C@@H](CC(=O)[O-])C(=O)[O-])ncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
2agpe120_c,CCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OCC[NH3+]
2agpe161_c,c
2agpe180_c,CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OCC[NH3+]
2dda7p_c,O=C([O-])C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
2mecdp_c,C[C@@]1(CO)OP(=O)([O-])OP(=O)([O-])OC[C@H]1O
3dhsk_c,O=C([O-])C1=CC(=O)[C@@H](O)[C@H](O)C1
3ophb_c,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(C(=O)[O-])ccc1O
4ampm_c,Cc1ncc(COP(=O)([O-])[O-])c(N)n1
4fe4s_c,[SH]12[Fe]3[SH]4[Fe]1[SH]1[Fe+]2[SH]3[Fe+]41
4hbz_c,O=C([O-])c1ccc(O)cc1
4per_c,O=C([O-])[C@H](O)[C@H](O)COP(=O)([O-])[O-]
4ppan_c,CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)[O-]
5aprbu_c,Nc1c(NC[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])[nH]c(=O)[nH]c1=O
5caiz_c,O=C([O-])Nc1cncn1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
ac_c,CC(=O)[O-]
adn_c,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
ahcys_c,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O
athtp_c,Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2C)c(N)n1
atp_c,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O
bmoco1gdp_c,c
bwco1gdp_c,c
camp_c,Nc1ncnc2c1ncn2[C@@H]1O[C@@H]2COP(=O)([O-])O[C@H]2[C@H]1O
cdg_c,Nc1nc2[nH]cc(C(=O)[O-])c2c(=O)[nH]1
cdp_c,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1
cdpdhdec9eg_c,CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(=O)CCCCCCCC=CCCCCCC
cdpdodec11eg_c,CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(=O)CCCCCCCCCC=CCCCCCC
cdpdtdec7eg_c,CCCCCCC=CCCCCCC(=O)OCC(COP(=O)([O-])OP(=O)([O-])OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(=O)CCCCCC=CCCCCCC
chor_c,C=C(O[C@@H]1C=C(C(=O)[O-])C=C[C@H]1O)C(=O)[O-]
ckdo_c,Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O[C@]3(C(=O)O)C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O)[C@H]2O)c(=O)n1
cpg160_c,CCCCCCC1CC1CCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)CO)OC(=O)CCCCCCCC1CC1CCCCCC
cph4_c,Nc1nc2c(c(=O)[nH]1)NC(C(=O)[O-])CN2
cpmp_c,Nc1nc2c(c(=O)[nH]1)N[C@@H]1[C@H](N2)O[C@@H]2COP(=O)(O)O[C@@H]2C1(O)O
dadp_c,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O1
damp_c,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])[O-])O1
dcdp_c,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1
dcmp_c,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)n1
didp_c,O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O1
dtdp4d6dm_c,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@@H](C)C(=O)[C@@H](O)[C@H]3O)O2)c(=O)[nH]c1=O
dtdprmn_c,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)O2)c(=O)[nH]c1=O
e4p_c,O=C[C@H](O)[C@H](O)COP(=O)([O-])[O-]
fmnh2_c,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1[n-]c(=O)[nH]c(=O)c1N2
for_c,O=C[O-]
fprica_c,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1NC=O
fum_c,O=C(O)C=CC(=O)O
gdpfuc_c,C[C@@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O
glx_c,O=CC(=O)[O-]
gtp_c,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1
h2mb4p_c,C/C(=C\\COP(=O)([O-])OP(=O)([O-])[O-])CO
h2o2_c,[*]OO[*]
hpyr_c,O=C([O-])C(=O)CO
ins_c,OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O
kdo2lipid4_c,CCCCCCCCCCC[C@@H](O)CC(=O)N[C@H]1[C@@H](OP(=O)([O-])[O-])O[C@H](CO[C@@H]2O[C@H](CO[C@]3(C(=O)[O-])C[C@@H](O[C@]4(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O4)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](OP(=O)([O-])[O-])[C@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@H]2NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](O)[C@@H]1OC(=O)C[C@H](O)CCCCCCCCCCC
mal__L_c,O=C([O-])C[C@H](O)C(=O)[O-]
mmcoa__S_c,C[C@@H](C(=O)[O-])C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
mococdp_c,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@H]4Nc5nc(N)[nH]c(=O)c5N[C@H]4C4=C3S[Mo](=O)(=O)S4)[C@@H](O)[C@H]2O)c(=O)n1
mocogdp_c,Nc1nc2[nH]cc(/C(S)=C(\\S)C(O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)nc-2c(=O)n1
nadph_c,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
nmn_c,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1
ohpb_c,O=C([O-])C(=O)[C@H](O)COP(=O)([O-])[O-]
orot_c,O=C([O-])c1cc(=O)[nH]c(=O)[nH]1
oxam_c,NC(=O)C(=O)[O-]
pan4p_c,CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS
