Metabolite,Smiles
saccrp__L_c,[NH3+][C@@H](CCCC[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-])C(=O)[O-]
4abut_c,[NH3+]CCCC(=O)[O-]
lys__L_c,c
ru5p__D_c,O=C(CO)[C@H](O)[C@H](O)COP(=O)([O-])[O-]
scl_c,CC1(CC(=O)[O-])/C2=C/c3[nH]c(c(CCC(=O)[O-])c3CC(=O)[O-])C=C3N=C(/C=C4\\[NH2+]/C(=C\\C(=N2)C1CCC(=O)[O-])C(C)(CC(=O)[O-])C4CCC(=O)[O-])C(CC(=O)[O-])=C3CCC(=O)[O-]
val__L_e,CC(C)[C@H]([NH3+])C(=O)[O-]
2oxoadp_c,O=C([O-])CCCC(=O)C(=O)[O-]
3oddcoa_x,CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
5aop_m,[NH3+]CC(=O)CCC(=O)[O-]
L2aadp_c,[NH3+][C@@H](CCCC(=O)[O-])C(=O)[O-]
akg_m,O=C([O-])CCC(=O)C(=O)[O-]
dd2coa_x,CCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
h2o_m,[O-][H]
h2o_v,[O-][H]
hicit_m,O=C([O-])CC[C@H](C(=O)[O-])[C@@H](O)C(=O)[O-]
pant__R_m,CC(C)(CO)[C@@H](O)C(=O)[O-]
ppp9_m,C=CC1=C(C)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C
prpp_m,O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O
ribflv_m,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
succ_m,O=C([O-])CCC(=O)[O-]
6pgl_c,O=C1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O
db4p_c,CC(=O)C(O)COP(=O)(O)O
dmlz_c,Cc1nc2c(=O)[nH]c(=O)nc-2n(CC(O)C(O)C(O)CO)c1C
fmn_c,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C
glyc_c,OCC(O)CO
sheme_c,C[C@@]1(CC(=O)[O-])C2=CC3=[N+]4C(=Cc5c(CCC(=O)[O-])c(CC(=O)[O-])c6n5[Fe-2]45N2C(=CC2=[N+]5C(=C6)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-])[C@H]1CCC(=O)[O-])C(CCC(=O)[O-])=C3CC(=O)[O-]
udpg_c,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
uppg3_c,O=C([O-])CCc1c2[nH]c(c1CC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])Cc1[nH]c(c(CCC(=O)[O-])c1CC(=O)[O-])C2
ala__L_e,C[C@@H]([NH3+])C(=O)[O-]
succ_e,O=C([O-])CCC(=O)[O-]
3c3hmp_e,CC(C)[C@@](O)(CC(=O)[O-])C(=O)[O-]
3hddcoa_x,CCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3mob_m,CC(C)C(=O)C(=O)[O-]
3ohdcoa_x,CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3otdcoa_x,CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
6pgl_r,O=C1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O
ddcacoa_x,CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
fum_m,O=C(O)C=CC(=O)O
hcit_m,O=C([O-])CC[C@@](O)(CC(=O)[O-])C(=O)[O-]
mal__L_m,O=C([O-])C[C@H](O)C(=O)[O-]
mev__R_c,C[C@](O)(CCO)CC(=O)[O-]
pmtcoa_x,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
ppi_m,O=P([O-])([O-])OP(=O)([O-])O
sql_c,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC=C(C)C
sql_r,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\\C)CC/C=C(\\C)CCC=C(C)C
td2coa_x,CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
val__L_m,CC(C)[C@H]([NH3+])C(=O)[O-]
3mob_c,CC(C)C(=O)C(=O)[O-]
dscl_c,C[C@@]1(CC(=O)[O-])/C2=C/c3[nH]c(c(CCC(=O)[O-])c3CC(=O)[O-])Cc3[nH]c(c(CC(=O)[O-])c3CCC(=O)[O-])/C=C3\\[NH2+]/C(=C\\C(=N2)[C@H]1CCC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]3CCC(=O)[O-]
fmnh2_c,Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1[n-]c(=O)[nH]c(=O)c1N2
h2s_c,[SH-]
hmbil_c,O=C([O-])CCc1c[nH]c(Cc2[nH]c(Cc3[nH]c(Cc4[nH]c(CO)c(CC(=O)[O-])c4CCC(=O)[O-])c(CC(=O)[O-])c3CCC(=O)[O-])c(CC(=O)[O-])c2CCC(=O)[O-])c1CC(=O)[O-]
na1_c,[Na+]
ppi_c,O=P([O-])([O-])OP(=O)([O-])O
udpgal_c,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
val__L_c,CC(C)[C@H]([NH3+])C(=O)[O-]
xu5p__D_c,O=C(CO)[C@@H](O)[C@H](O)COP(=O)([O-])[O-]
4abut_e,[NH3+]CCCC(=O)[O-]
lys__L_e,c
3htdcoa_x,CCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3mbald_e,CC(C)CC=O
4mop_m,CC(C)CC(=O)C(=O)[O-]
alac__S_m,CC(=O)[C@](C)(O)C(=O)[O-]
b124tc_m,O=C([O-])/C=C(/CCC(=O)[O-])C(=O)[O-]
cdpea_c,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OCC[NH3+])[C@@H](O)[C@H]2O)c(=O)n1
fmn_m,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C
h2o_n,[O-][H]
h_n,[H+]
ile__L_m,CC[C@H](C)[C@H]([NH3+])C(=O)[O-]
pendp_c,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)([O-])OP(=O)([O-])[O-]
pep_m,C=C(OP(=O)([O-])[O-])C(=O)[O-]
ppi_x,O=P([O-])([O-])OP(=O)([O-])O
tdcoa_x,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
