Metabolite,Smiles
5aop_c,[NH3+]CC(=O)CCC(=O)[O-]
ala__L_c,C[C@@H]([NH3+])C(=O)[O-]
dha_c,O=C(CO)CO
h_c,[H+]
h2o_c,[O-][H]
pant__R_c,CC(C)(CO)[C@@H](O)C(=O)[O-]
prpp_c,O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])[O-])[C@H](O)[C@@H]1O
r1p_c,O=P([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
r5p_c,O=P(O)(O)OC[C@H]1O[C@H](O)[C@H](O)[C@@H]1O
ribflv_c,Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
glyc_e,OCC(O)CO
pyr_e,CC(=O)C(=O)[O-]
sbt__D_e,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
23dhmb_m,CC(C)(O)[C@@H](O)C(=O)[O-]
2mbtoh_e,CCC(C)CO
2mppal_e,CC(C)C=O
2oxoadp_m,O=C([O-])CCCC(=O)C(=O)[O-]
3hhdcoa_x,CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
4abut_m,[NH3+]CCCC(=O)[O-]
L2aadp6sa_c,NC(CCCC=O)C(=O)O
btd_RR_e,C[C@@H](O)[C@@H](C)O
cdp_n,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1
h2o_r,[O-][H]
h2o_x,[O-][H]
hdd2coa_x,CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
ibutoh_e,CC(C)CO
ind3eth_e,OCCc1c[nH]c2ccccc12
leu__L_m,N[C@@H](Cc1cc(I)c(Oc2ccc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c(I)c2)c(I)c1)C(=O)O
lys__L_m,c
lys__L_v,c
oxag_m,O=C(O)CCC(C(=O)O)C(=O)C(=O)O
pheme_m,C=CC1=C(C)C2=Cc3c(C=C)c(C)c4n3[Fe-2]35n6c(c(C)c(CCC(=O)[O-])c6=CC6=[N+]3C(=C4)C(C)=C6CCC(=O)[O-])=CC1=[N+]25
